Id,Label,timeset,node,node_type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Treshold_01
SoyForestal,SoyForestal,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
SP_ECCLR,SP_ECCLR,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
sp-bpr-en-prod-cdnep.azureedge.net,sp-bpr-en-prod-cdnep.azureedge.net,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SP_Inst,SP_Inst,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
www.cips-cepi.ca,www.cips-cepi.ca,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SP_Simonovic,SP_Simonovic,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
space2place,space2place,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
spacebug76,spacebug76,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SpaceCitiesDems,SpaceCitiesDems,,Source,Twitter,0,4,4,0,5,5,1,1,1,0,0
spaceottobot,spaceottobot,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SpaceRef,SpaceRef,,Source,Twitter,0,1,1,0,3,3,1,1,1,0,0
spaceref.com,spaceref.com,,Target,Web_Domain,1,0,1,3,0,3,0,0,0,0,0
SpaininFiji,SpaininFiji,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
reut.rs,reut.rs,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
www.fijitimes.com,www.fijitimes.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SparkeHelmore,SparkeHelmore,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.sparke.com.au,www.sparke.com.au,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
spartareport,spartareport,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
www.spartareport.com,www.spartareport.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SpatialAce,SpatialAce,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
SpatialRachael,SpatialRachael,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
Speak535,Speak535,,Source,Twitter,0,24,24,0,54,54,1,1,1,0,0
www.thewesternstar.com,www.thewesternstar.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
speakerpolitics,speakerpolitics,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
speakerpolitics.co.uk,speakerpolitics.co.uk,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
SpeakerRepeater,SpeakerRepeater,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
tedxfolkestone.com,tedxfolkestone.com,,Target,Web_Domain,2,0,2,2,0,2,0,0,0,0,0
speakoutquaker,speakoutquaker,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
Spearbags,Spearbags,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
quillette.com,quillette.com,,Target,Web_Domain,2,0,2,2,0,2,0,0,0,0,0
SpeciesSpeak,SpeciesSpeak,,Source,Twitter,0,3,3,0,8,8,1,1,1,0,0
SpecifierReview,SpecifierReview,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
specifierreview.com,specifierreview.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SpeeZees,SpeeZees,,Source,Twitter,0,2,2,0,3,3,1,1,1,0,0
SperoVentures,SperoVentures,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
blog.usejournal.com,blog.usejournal.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
spiderzjay,spiderzjay,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SPIEgroup,SPIEgroup,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SpikeAndersonMS,SpikeAndersonMS,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
spinalcordmd,spinalcordmd,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SpindriftArchy,SpindriftArchy,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
timesofsandiego.com,timesofsandiego.com,,Target,Web_Domain,2,0,2,4,0,4,0,0,0,0,0
spiritdancer,spiritdancer,,Source,Twitter,0,3,3,0,5,5,1,1,1,0,0
spiritscall,spiritscall,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
spitfire0214,spitfire0214,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
spjames83,spjames83,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SpotOnLocations,SpotOnLocations,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
springboardB,springboardB,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
SpringerGeo,SpringerGeo,,Source,Twitter,0,1,1,0,4,4,1,1,1,0,0
www.springer.com,www.springer.com,,Target,Web_Domain,1,0,1,4,0,4,0,0,0,0,0
SpringGrrl,SpringGrrl,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SputnikInt,SputnikInt,,Source,Twitter,0,2,2,0,4,4,1,1,1,0,0
sptnkne.ws,sptnkne.ws,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
SpwdWastelands,SpwdWastelands,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
Squarein_Square,Squarein_Square,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SquidAppAU,SquidAppAU,,Source,Twitter,0,1,1,0,3,3,1,1,1,0,0
go.squidapp.co,go.squidapp.co,,Target,Web_Domain,1,0,1,3,0,3,0,0,0,0,0
Squirrel_Gal,Squirrel_Gal,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SRavi_RRCo,SRavi_RRCo,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SRGradMS,SRGradMS,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
srilankaglobal,srilankaglobal,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
Srish__T,Srish__T,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SRMS_Science,SRMS_Science,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
SRPPaloAlto,SRPPaloAlto,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SRSilvie,SRSilvie,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
ssgovforum,ssgovforum,,Source,Twitter,0,14,14,0,30,30,1,1,1,0,0
echopress.com,echopress.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
sshingavi,sshingavi,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
ssiperstein,ssiperstein,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
SStapletonMS,SStapletonMS,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
st_hof,st_hof,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
st_molloy,st_molloy,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
St_Ouennais,St_Ouennais,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
ST_Sustainable,ST_Sustainable,,Source,Twitter,0,2,2,0,2,2,1,1,1,0,0
Stabzy_Rehab,Stabzy_Rehab,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
staceyinpieces,staceyinpieces,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
stacievotaw,stacievotaw,,Source,Twitter,0,3,3,0,4,4,1,1,1,0,0
stanleychen0402,stanleychen0402,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
Stantec,Stantec,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
stapf,stapf,,Source,Twitter,0,7,7,0,14,14,1,1,1,0,0
www.houstonpress.com,www.houstonpress.com,,Target,Web_Domain,1,0,1,2,0,2,0,0,0,0,0
StarAdvertiser,StarAdvertiser,,Source,Twitter,0,1,1,0,1,1,1,1,1,0,0
www.staradvertiser.com,www.staradvertiser.com,,Target,Web_Domain,1,0,1,1,0,1,0,0,0,0,0
starchydish,starchydish,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
StardustGreen,StardustGreen,,Source,Twitter,0,1,1,0,2,2,1,1,1,0,0
stargrazzer,stargrazzer,,Source,Twitter,0,3,3,0,10,10,1,1,1,0,0
